Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PYN,PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest,$9.805,0.035,0.358%,56163040.00,United States,2002,8725,,
PZC,PIMCO California Municipal Income Fund III Common Shares of Beneficial Interest,$10.66,0.02,0.188%,238581460.00,United States,2002,20716,,
QUAD,Quad Graphics Inc Class A Common Stock,$3.66,-0.14,-3.684%,196382827.00,United States,,355865,Miscellaneous,Publishing
RENN,Renren Inc. American Depositary Shares each representing fifteen Class A ordinary shares,$8.82,-0.11,-1.232%,207974206.00,China,2011,41392,Consumer Durables,Automotive Aftermarket
RFM,RiverNorth Flexible Municipal Income Fund Inc. Common Stock,$22.27,0.0238,0.107%,136174347.00,,2020,25696,,
RGT,Royce Global Value Trust Inc. Common Stock,$14.25,-0.095,-0.662%,79811272.00,,2013,72104,,
RICE,Rice Acquisition Corp. Class A Common Stock,$10.11,0.01,0.099%,299850974.00,United States,2020,21373,Finance,Business Services
RIV,RiverNorth Opportunities Fund Inc. Common Stock,$17.54,0.01,0.057%,164700600.00,,2015,98976,,
RMI,RiverNorth Opportunistic Municipal Income Fund Inc. Common Stock,$22.10,0.05,0.227%,140849223.00,,2018,9582,,
RNGR,Ranger Energy Services Inc. Class A Common Stock,$5.51,-0.27,-4.671%,84958062.00,United States,2017,18952,Energy,Oilfield Services/Equipment
RSF,RiverNorth Specialty Finance Corporation,$17.95,0.05,0.279%,92758402.00,,2019,18818,,
RTPZ,Reinvent Technology Partners Z Class A Ordinary Shares,$10.12,-0.02,-0.197%,290950000.00,United States,2021,176089,Finance,Business Services
RYB,RYB Education Inc. American depositary shares each representing one Class A ordinary share,$3.59,-0.09,-2.446%,99034982.00,,2017,83122,Consumer Services,Other Consumer Services
SAR,Saratoga Investment Corp New,$26.33,0.61,2.372%,294106837.00,United States,,128255,,
SB,Safe Bulkers Inc Common Stock ($0.001 par value),$2.37,-0.08,-3.265%,249793561.00,Monaco,2008,607016,Transportation,Marine Transportation
SBG,Sandbridge Acquisition Corporation Class A Common Stock,$9.90,0.00,0.00%,284625000.00,,2020,171668,Capital Goods,Industrial Machinery/Components
SBI,Western Asset Intermediate Muni Fund Inc Common Stock,$9.32,-0.03,-0.321%,131247176.00,United States,1992,11284,,
SBOW,SilverBow Resorces Inc. Common Stock,$8.02,0.02,0.25%,95732166.00,,,56169,Energy,Oil & Gas Production
SCD,LMP Capital and Income Fund Inc. Common Stock,$12.96,0.17,1.329%,232781079.00,United States,2004,67816,,
SCM,Stellus Capital Investment Corporation Common Stock,$12.96,0.15,1.171%,252538599.00,United States,2012,48067,,
SCPE,SC Health Corporation Class A Ordinary Shares,$10.10,0.00,0.00%,230406250.00,,2019,145339,Finance,Business Services
SCVX,SCVX Corp. Class A Ordinary Shares,$9.92,0.03,0.303%,285200000.00,,2020,38144,Finance,Business Services
SD,SandRidge Energy Inc. Common Stock,$3.91,-0.10,-2.494%,141288065.00,,2016,209654,Energy,Oil & Gas Production
SFE,Safeguard Scientifics Inc. New Common Stock,$6.97,0.03,0.432%,145981806.00,United States,,82744,Finance,Finance/Investors Services
SFUN,Fang Holdings Limited American Depositary Shares (Each representing Four Class A Ordinary Shares HK$1.00 par value),$12.5201,0.0201,0.161%,112746217.00,China,2010,23424,Technology,EDP Services
SJT,San Juan Basin Royalty Trust Common Stock,$4.07,-0.04,-0.973%,189697800.00,United States,,47866,Energy,Oil & Gas Production
SMHI,SEACOR Marine Holdings Inc. Common Stock ,$5.12,-0.21,-3.94%,119892823.00,,2017,102506,Transportation,Marine Transportation
SMLP,Summit Midstream Partners LP Common Units Representing Limited Partner Interests,$22.90,-0.75,-3.171%,139921107.00,United States,2012,21916,Public Utilities,Natural Gas Distribution
SMM,Salient Midstream Common Shares of Beneficial Interest,$5.12,-0.05,-0.967%,90738934.00,United States,2012,113484,,
SPE,Special Opportunities Fund Inc Common Stock,$14.73,0.03,0.204%,125219259.00,United States,,92502,,
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,$16.61,0.04,0.241%,285555100.00,United States,,95034,,
